Coverage,Risk_Random,Risk_Deterministic,Risk_MCDropout,Risk_DeepEnsemble
0.944731,0.863245,0.863028,0.866039,0.825301
0.949415,0.863245,0.861949,0.865549,0.824236
0.954567,0.863245,0.861769,0.865611,0.824407
0.959719,0.863245,0.862173,0.866136,0.824963
0.964403,0.863245,0.862843,0.865033,0.824189
0.969555,0.863245,0.862022,0.864278,0.823754
0.974707,0.863245,0.86125,0.864559,0.824066
0.979859,0.863245,0.8612,0.86437,0.82362
0.984543,0.863245,0.8616,0.86406,0.823874
0.989696,0.863245,0.862082,0.864073,0.823685
0.994848,0.863245,0.862797,0.864088,0.823846
1.0,0.863245,0.863245,0.863671,0.823364
